Базовый				
Услуга				Цена
Д - димер (D - dimer)				187000,00
Антитромбин III				225000,00
Волчаночный антикоагулянт - подтверждающий (LA-2)				224995,00
Волчаночный антикоагулянт - скрининг (LA-1)				225000,00
HAV IgM (Гепатит А)				50000,00
HBsAg (Гепатит В)				50000,00
HCV (Гепатит С)				50000,00
RW - (Экспрес PRP - тест)				59997,00
Helicobacter pylory (кровь, кал)				75000,00
Дыхательно- уреазный тест на определение Helicobacter pylory				220000,00
Тропонин I				80000,00
Бруцеллёз (Rose Bengal)				65000,00
СПИД (ВИЧ) Экспресс				85000,00
СПИД (ВИЧ) Экспресс ( иностранцам )				211000,00
SARS-CoV-2 IgM/IgG				120000,00
SARS-CoV-2- Antigen				120000,00
Глюкозо - толерантный тест				67000,00
АКЦИЯ Глюкоза крови				1000,00
Глюкоза мочи				40000,00
Глюкоза через 2 часа после еды				40000,00
Гликолизированный гемоглобин				85000,00
Инсулин				120000,00
Индекс НОМА (инсулин + глюкоза натощак)				120000,00
Фруктозамин				70000,00
Общий билирубин				30000,00
Прямой билирубин				30000,00
Трансаминаза-АЛТ				40000,00
Трансаминаза-АСТ				40000,00
Тимоловая проба				35000,00
Общий белок				45000,00
Альбумин				25000,00
ГГТ				45000,00
Желчные кислоты				50000,00
Общий холестерин				55000,00
HDL-холестерин (Высокой плотности)				60000,00
LDL-холестерин (Низкой плотности)				60000,00
Триглицериды				55000,00
Аполипопротеин А1				225000,00
Аполипопротеин В				225000,00
Железо				55000,00
Общая железосвязывающая способность (ОЖС)				60000,00
Ферритин				90000,00
Трансферрин				195000,00
Эритропоэтин				210000,00
Альфа-амилаза (диастаза) крови				53000,00
Альфа-амилаза (диастаза) мочи				53000,00
Липаза (Lipase)				75000,00
Щелочная фосфатаза (ALP)				50000,00
Кислая фосфатаза (ACP)				50000,00
Лактодегидрогеназа (LDG)				50000,00
Холинэстераза				55000,00
Гамма-глютамилтрансфераза (GGT)				42000,00
Креатининкиназа (КФК)				48000,00
Креатининкиназа - МВ (КФК - МВ)				75000,00
Цистатин С				140000,00
Глюкоматдекарбоксилаза ( Анти-GAD)				200000,00
Эластаза (Elastasa)				334000,00
Кальпротектин				254000,00
Мочевина				25000,00
Креатинин				24997,00
Проба Реберга				60000,00
Мочевая кислота в крови				48000,00
Мочевая кислота в суточной моче				48000,00
Калий (K)				53000,00
Натрий (Na)				53000,00
Хлориды (Cl)				53000,00
Магний (Mg)				53000,00
Кальций в крови (Ca)				53000,00
Кальций в моче (Ca)				53000,00
Фосфор (P)				53000,00
Железо (Fe)				53000,00
Комплекс электролитов (группа)				180000,00
Цинк				135000,00
Медь				120000,00
Витамин D				210000,00
Витамин B12				210000,00
Фолиевая кислота				162000,00
Гомоцистеин				466000,00
Ревматоидный фактор				40000,00
С-Реактивный белок				54000,00
Антистрептолизин				54000,00
Антитела к циклическому цитруллин				230000,00
Миоглобин				195000,00
Прокальцитонин				295000,00
С - реактивный белок				54000,00
Антистрептолизин				54000,00
Кальпротектин				215000,00
Остеокальцин				230000,00
Кальцитонин				215000,00
Тропонин I				80000,00
Мозговой натрийуретический пептид (NT pro BNP)				216000,00
IgA				95000,00
IgM				95000,00
IgG				95000,00
ТТГ				95000,00
Т3				95000,00
Т3 свободный				95000,00
Т4				95000,00
Т4 свободный				95000,00
Антитела к ТГ				95000,00
Антитела к ТПО				95000,00
Тиреоглобулин				95000,00
Прогестерон (Progesterone)				95000,00
Эстрадиол (Estradiol)				95000,00
Эстриол (Free Estriol)				95000,00
Пролактин (Prolactin)				95000,00
Тестостерон (Testosterone)				95000,00
Свободный тестостерон (Free Testosterone)				105000,00
Фоликулостимулирующий гормон (FSH)				95000,00
Лютеинизирующий гормон (LH)				95000,00
Дегидроэпиандростерон-сульфат (DHEAS)				95000,00
17- ОН прогестерон				105000,00
Антимюллеров гормон (АМГ)				365000,00
Глобулин, связывающий половые гормоны (SHBG)				135000,00
Ингибин В				385000,00
Кортизол (утро)				95000,00
Кортизол (вечер)				95000,00
Соматотропный гормон (СТГ)				95000,00
Инсулиноподобный фактор роста (ИФР)				175000,00
Протеин-3, связывающий инсулиноподобный				330000,00
фактор роста (IGFBP-3)				330000,00
Адренокортикотропный гормон (АКТГ)				180000,00
Альдостерон				260000,00
Ренин				253000,00
Адреналин/Норадреналин				355000,00
Паратгормон (PTH)				201000,00
ХГЧ – ранняя диагностика беременности				90000,00
ХГЧ – точное разведение				90000,00
AFP - Алфа-фетопротеин				97000,00
Эстриол свободный (Free estriol)				90000,00
Свобод. Хорионич. гонадотропин (Free-B-HCG)				86000,00
Свобод. Хорионич. гонадотропин (Free-B-HCG)				103000,00
PAPP - A (белок А плазмы ассоциированный				104000,00
с беременностью)				90000,00
АФП+ХГЧ+Эстриол				220000,00
Раковый эмбриональный антиген (CEA)				81000,00
Углеводный антиген СА-15-3 (молочная железа)				86000,00
Углеводный антиген СА-19-9 (поджелудочная				90000,00
железа + ЖКТ)				78000,00
Углеводный антиген СА-72-4 (желудок)				86000,00
Углеводный антиген СА-125 (яичники)				86000,00
CYFRA 21-1				127000,00
НЕ-4 (яичники)				242000,00
Нейрон специфическая енолаза (NSE - лёгкие)				109000,00
Альфа-фетопротеин (AFP - печень)				81000,00
Хорионический гонадотропин (ХГЧ - яички, пуз. занос)				75000,00
Простатспецифический антиген общий (PSA)				81000,00
Простатспецифический антиген свобод. (Free-PSА)				81000,00
Индекс ROMA (HE-4+CA125)				285000,00
Антиген плоскоклеточной карциномы (SCC)				248500,00
Тиреоглобулин (щитовидная железа)				75000,00
S 100 (маркер потенциального повреждения				525000,00
Микоплазма Mycoplasma genitalium				165000,00
Уреаплазма Ureaplasma urealiticum				165000,00
Уреаплазма Ureaplasma parvum				190000,00
Гонококк Neisseria gonorrhoeae				178000,00
Трихомонада Trichomonas vaginalis				165000,00
Гарднерелла Gardnerella vaginalis				165000,00
Цитомегаловирус Cytomegalovirus качество				165000,00
Цитомегаловирус Cytomegalovirus количество				325000,00
Вирус простого герпеса Herpes Simplex Virus ? качество				165000,00
Вирус простого герпеса Herpes Simplex Virus 8 количество				325000,00
Инсулин				114000,00
С-пептид				140000,00
Общий IgE				100000,00
Аллергопанели (смешанная)				2806000,00
Аллергопанели (ингаляционна)				1996000,00
Аллергопанели (пищевая)				2036000,00
Антинуклеарные антитела (ANA)				270000,00
Антиспермальные антитела (АСА)				380000,00
Антитела к фосфолипидам (AFS) IgM IgG				185000,00
Антитела к митохондриям (АМА)				375000,00
Антитела к миелопероксидазе (Анти-МРО)				365000,00
Антитела к модифицированному цитруллинированому виментину (A-MCV)				365000,00
Целиакия (трансглутаминаза IgA) количественный				266000,00
Целиакия (антитела к глиадину IgA) количественный				330000,00
Целиакия (антитела к глиадину IgG) количественный				330000,00
IgG к одноцепочечнойДНК, IgG к двухцепочечнойДНК				330000,00
Anti - histone – Определение антител к гистонам				330000,00
Anti - PR3 – Определение антител к протеиназе 3				360000,00
Аутоиммунная панель-10 антигенов				630000,00
(AMA M2,SP100,gp210,LKM1,LC1,CENP-B,GBM,PR3,MPO,SLA/LP) NEW				570000,00
Антитела к Saccharomyces cerevisiae (ASCA) Ig G				330000,00
Антинейтрофильные цитоплазматические				375000,00
антитела (ANCA)				375000,00
Интерлейкин 2 (ИЛ 2)				207000,00
Интерлейкин 6 (ИЛ 6)				207000,00
Интерлейкин 10 (ИЛ 10)				207000,00
Интерлейкин 4 (ИЛ 4)				207000,00
Интерлейкин 8 (ИЛ 8)				207000,00
Компонент комплемента С3 (С3-Complement Factor)				150000,00
Компонент комплемента С4 (С4-Complement Factor)				150000,00
Антитела к лямблиям суммарные				75000,00
Антитела к лямблиям IgG				75000,00
Антитела к аскаридам IgG				75000,00
Антитела к эхинококку IgG				75000,00
Гельминты (токсокароз, описторхоз, трихенеллёз,				70000,00
эхинококкоз)				70000,00
HAV (Гепатит A) IgM IgG по				64000,00
Anti Hbs (Антитела к поверхностному антигену гепатита B)				64000,00
Anti HBc (Антитела к ядерному антигену гепатита B) IgM, IgG				64000,00
HBeAg (Антиген оболочки гепатита B)				64000,00
Anti Hbe (Антитела к антигену оболочки гепатита B)				64000,00
Anti HCV (Гепатит C)				64000,00
Anti HDV (Гепатит D)				64000,00
HEV IgM (Гепатит E)				64000,00
A.R.I. WELL D-ONE				250000,00
OYRON WELL D-ONE				250000,00
UROGEN WELL D-ONE				250000,00
Носа				152000,00
Со слизистой оболочки зева				152000,00
Конъюнктивы				152000,00
Уха				152000,00
Кровь на стерильность				102000,00
С участка поражения				152000,00
Мокроты				191000,00
Мочи				108000,00
Urethra				190000,00
Vagina				190000,00
Cervical				190000,00
С 3х точек (urethra.vagina.cervical)				445000,00
Спермы				190000,00
Сока простаты.				190000,00
Грудное молоко на стерильность				58000,00
Плевральная жидкость				168000,00
Спинномозговая жидкость				168000,00
Кал (дизбактериоз)				279000,00
Кишечная группа (Дизентерия, сальмонелез)				92000,00
Кишечная группа (Дизентерия, сальмонелез, стафилококк)				137000,00
Антитела к токсоплазме IgM				69000,00
Антитела к токсоплазме IgG				69000,00
Антитела к ЦМВ IgM				69000,00
Антитела к ЦМВ IgG				69000,00
Антитела к вирусу герпеса I типа IgM				69000,00
Антитела к вирусу герпеса I типа IgG				69000,00
Антитела к вирусу герпеса II типа IgM				69000,00
Антитела к вирусу герпеса II типа IgG				69000,00
Антитела к вирусу краснухи IgM				69000,00
Антитела к вирусу краснухи IgG				69000,00
Антитела к хламидиям IgM				66000,00
Антитела к хламидиям IgG				66000,00
Антитела к микоплазме M.hominis Ig.A Ig.M Ig.G				66000,00
Антитела к уреаплазме U.urealiticum Ig.A Ig.M Ig.G				66000,00
Антитела к гарднерелле IgG				66000,00
Антитела к трихомонаде IgG				66000,00
Антитела к кандиде по IgM IgG				66000,00
Антитела к хламидиям пневм. по IgM IgG				66000,00
Антитела к микоплазме пнев. по IgM IgG				66000,00
Helicobacter pylori суммарные				69000,00
Helicobacter pylori IgM IgG				69000,00
Вирус Эпштейн-Барра VCA IgG				108000,00
Вирус Эпштейн-Барра VCA IgM				108000,00
Вирус Эпштейн-Барра IgG к раннему антигену ЕА				108000,00
Вирус Эпштейн-Барра IgG к ядерному антигену NA				108000,00
VZV (Вирус Зостер) IgM				130000,00
Бруцеллёз IgM				76000,00
Корь IgМ				158000,00
Корь IgG				158000,00
Коклюш IgМ				182000,00
Коклюш IgG				182000,00
СПИД (ВИЧ) ИФА ОИТС (Иностранцам)				207000,00
СПИД (ВИЧ) ИФА ОИТС				61000,00
Анти-SARS-CoV-2 IgM				184000,00
Анти-SARS-CoV-2 IgG				184000,00
Anti – RBD антитела к коронавирусу SARS – CoV 2				213000,00
Туберкулёз – Антитела				130000,00
Авидность к токсоплазме				108000,00
Авидность к ЦМВ				108000,00
Авидность к ВПГ				108000,00
Авидность к Краснухе				108000,00
Гепатит В (качественный)				163000,00
Гепатит В (количественный)				271000,00
Гепатит С (качественный)				163000,00
Гепатит С (количественный)				291000,00
Гепатит С (Генотипирование)				298000,00
Гепатит D (качественный)				217000,00
Гепатит D (количественный)				345000,00
Вирус Эпштейна-Барра (EBV) кровь качественный				195000,00
Вирус Эпштейна-Барра (EBV) кровь количественный				345000,00
Вирус Эпштейна-Барра (EBV) слюна качественный				195000,00
Вирус Эпштейна-Барра (EBV) слюна количественный				345000,00
VZV (Вирус Зостер)				195000,00
Туберкулез (Mycobacterium tuberculosis/bovis)				195000,00
Сальмонеллёз				195000,00
Хламидия пневмония				187000,00
Бруцеллез РТ-ПЦР				195000,00
Helicobacter pylori слюна, Желудочный сок по				195000,00
SARS-CoV-2 (Covid-19)				182000,00
Хламидия Chlamidia trachomatis				165000,00
Антитела к лямблиям IgM				75000,00
Анализ на грибок (ногтей) руки				50000,00
антитела к рецепторам ТТГ (анти-рТТГ)				295000,00
Панель В27 HLA				480000,00
HLA II класс (DRB 1, DQA 1, DQB 1)				2025000,00
HLA I класс (HLA – A, HLA – B, HLA – DR)				4125000,00
Скрингенетика метаболизма фолатов				465000,00
(MTHFR, MTR, MTRR)				420000,00
ОнкоГенетика BRCA (риск развития рака молочной				465000,00
железы, рака яичника, рака толстого кишечника)				420000,00
Скрингенетика гипертонической болезни				495000,00
(ADD1, AGT, AGTR, GNB3, NOS3)				450000,00
Скрингенетика азооспермии-мужское бесплодие.				465000,00
Делеции локуса AZF				465000,00
Скрингенетика муковисцыдоза.				465000,00
Мутации гена CIFTR				420000,00
Генетика Синдрома Жельбера				525000,00
Определение Полиморфизма гена вит Д				415000,00
Тест на отцовство/материнство, 25 маркеров				1725000,00
Кариотип анализ экспертного уровня				915000,00
Неинвазивное определение пола плода. Стандартный тест (точность 99 %)				1829000,00
Неинвазивное определение пола плода. Определние риска развития аномалий хромосомного набора плода. Экспертный тест . (точность 99.9 %)				6854000,00
Иммуногенетика IL 28- B в прогнозе противовирусной терапии при ВГС				230000,00
Выделение ДНК из нестандартного образца				575000,00
